feature,mean_dz,std_dz,consistency,t_stat,p_raw,p_bonferroni,rf_rank,n_tasks,abs_mean_dz
mode_choice_ratio,0.589649615386508,0.2287656418230405,1.0,12.627251830434863,7.941962525415125e-12,1.9060710060996302e-10,8,24,0.589649615386508
rewrite_ratio,-0.5896496153865078,0.2287656418230405,1.0,-12.627251830434862,7.941962525415145e-12,1.9060710060996348e-10,9,24,0.5896496153865078
diversity_entropy_q2,-0.5521130276813798,0.43295967141045666,0.9166666666666666,-6.247210941179786,2.2509555742131903e-06,5.402293378111656e-05,14,24,0.5521130276813798
diversity_entropy_q1,-0.5105608877195434,0.5175006813668437,0.875,-4.833283133974333,7.056111862405146e-05,0.0016934668469772351,16,24,0.5105608877195434
diversity_entropy_q3,-0.4869220786800028,0.42876896274157705,0.8333333333333334,-5.56341872151874,1.1660228647092682e-05,0.0002798454875302244,21,24,0.4869220786800028
neg_opt_count,0.4834007300292613,0.5324944494607472,0.7916666666666666,4.44731445016822,0.0001846049172680895,0.004430518014434148,11,24,0.4834007300292613
diversity_entropy_q4,-0.48290149501330587,0.43038149107601925,0.875,-5.496808219388892,1.3719687749816241e-05,0.0003292725059955898,18,24,0.48290149501330587
neg_opt_rate,0.48067307143818533,0.5319107675377294,0.8333333333333334,4.427072471460753,0.00019416585182888284,0.004659980443893188,15,24,0.48067307143818533
overall_revert_rate,-0.45782495228607445,0.41754062709482553,0.875,-5.3716330907375545,1.8643164188591875e-05,0.00044743594052620503,17,24,0.45782495228607445
punctuation_index_top3,0.454930186879342,0.6014303270227781,0.6666666666666666,3.705655589267212,0.0011649714078232423,0.027959313787757817,23,24,0.454930186879342
worst_regression_magnitude,0.38050339573413977,0.6686844163210806,0.7083333333333334,2.7876802335929085,0.010461799853632749,0.25108319648718597,3,24,0.38050339573413977
thrashing_index,-0.35560612250403395,0.3177332157260614,0.8333333333333334,-5.482924078642894,1.4193461916382412e-05,0.00034064308599317787,27,24,0.35560612250403395
num_unique_strategies,-0.3495596538419404,0.6827051343390111,0.625,-2.5083824436319135,0.01962761356551243,0.47106272557229834,25,24,0.3495596538419404
num_plateaus,0.2229625361218378,0.41464561065245964,0.75,2.6342709592222033,0.014824829396268972,0.3557959055104553,37,24,0.2229625361218378
code_success_rate,0.21313638802929513,0.5493899964058591,0.625,1.90056389707516,0.06996477593127051,1.0,6,24,0.21313638802929513
rewrite_after_plateau_rate,-0.20692850466902535,0.4088277248442406,0.625,-2.4796226815064992,0.02091179024309151,0.5018829658341962,34,24,0.20692850466902535
avg_plateau_length,-0.17881302093887633,0.33670061306923355,0.7083333333333334,-2.601721788821264,0.015948289691881876,0.382758952605165,28,24,0.17881302093887633
plateau_escape_rate,0.17646712867347833,0.35759560087527203,0.7916666666666666,2.417560062629815,0.023953041785598258,0.5748730028543582,36,24,0.17646712867347833
recovery_after_revert_rate,0.15938909352849936,0.4110852078548183,0.75,1.8994697072508235,0.07011491603348416,1.0,38,24,0.15938909352849936
error_recovery_rate,0.0732840152612081,0.27849108141231693,0.5833333333333334,1.2891503942025768,0.21016090163112028,1.0,32,24,0.0732840152612081
serendipity_index,0.05404342812254793,0.3048414646347508,0.375,0.8685092955424043,0.39408814242819307,1.0,43,24,0.05404342812254793
diversity_entropy_trend,-0.02879433334894974,0.25423192493870855,0.5,-0.5548589084988916,0.5843474162925251,1.0,26,24,0.02879433334894974
initial_generation_reverted_rate,-0.01977969430323089,0.06701277781351651,0.08333333333333333,-1.4459976109624424,0.16166805648925667,1.0,55,24,0.01977969430323089
early_exit_flag,-0.017085985530612007,0.29960088407096624,0.3333333333333333,-0.2793846649174938,0.7824466203088933,1.0,47,24,0.017085985530612007
